n,ij,ji
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,0.00,0.00
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.00,0.00
51,0.00,0.00
52,0.00,0.00
53,0.00,0.00
54,0.00,0.00
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.00,0.00
59,0.00,0.00
60,0.00,0.00
61,0.00,0.00
62,0.00,0.00
63,0.00,0.00
64,0.00,0.00
65,0.00,0.00
66,0.00,0.00
67,0.00,0.00
68,0.00,0.00
69,0.00,0.00
70,0.00,0.00
71,0.00,0.00
72,0.00,0.00
73,0.00,0.00
74,0.00,0.00
75,0.00,0.00
76,0.00,0.00
77,0.00,0.00
78,0.00,0.00
79,0.00,0.00
80,0.01,0.01
81,0.01,0.01
82,0.01,0.01
83,0.00,0.00
84,0.00,0.00
85,0.00,0.00
86,0.00,0.00
87,0.00,0.00
88,0.00,0.00
89,0.00,0.00
90,0.00,0.00
91,0.00,0.00
92,0.00,0.00
93,0.00,0.00
94,0.00,0.00
95,0.00,0.00
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100,0.00,0.00
101,0.00,0.00
102,0.00,0.00
103,0.00,0.00
104,0.00,0.00
105,0.00,0.00
106,0.00,0.00
107,0.00,0.00
108,0.00,0.00
109,0.00,0.00
110,0.00,0.00
111,0.00,0.00
112,0.00,0.00
113,0.00,0.00
114,0.00,0.00
115,0.00,0.00
116,0.00,0.00
117,0.00,0.00
118,0.00,0.00
119,0.00,0.01
120,0.00,0.00
121,0.01,0.01
122,0.01,0.00
123,0.01,0.00
124,0.01,0.01
125,0.00,0.00
126,0.03,0.03
127,0.03,0.03
128,0.00,0.00
129,0.01,0.01
130,0.00,0.00
131,0.01,0.01
132,0.01,0.01
133,0.01,0.01
134,0.00,0.01
135,0.01,0.01
136,0.01,0.01
137,0.01,0.01
138,0.01,0.01
139,0.01,0.01
140,0.01,0.01
141,0.01,0.01
142,0.01,0.01
143,0.01,0.01
144,0.01,0.01
145,0.01,0.01
146,0.01,0.01
147,0.01,0.01
148,0.01,0.01
149,0.01,0.01
150,0.01,0.01
151,0.01,0.01
152,0.01,0.01
153,0.01,0.01
154,0.01,0.01
155,0.01,0.01
156,0.01,0.02
157,0.01,0.01
158,0.01,0.01
159,0.01,0.01
160,0.01,0.01
161,0.01,0.01
162,0.01,0.01
163,0.01,0.01
164,0.01,0.01
165,0.01,0.01
166,0.01,0.01
167,0.01,0.01
168,0.01,0.01
169,0.01,0.01
170,0.01,0.01
171,0.01,0.01
172,0.01,0.01
173,0.01,0.01
174,0.01,0.01
175,0.01,0.01
176,0.01,0.01
177,0.01,0.01
178,0.01,0.01
179,0.01,0.01
180,0.01,0.01
181,0.01,0.01
182,0.01,0.01
183,0.01,0.01
184,0.01,0.01
185,0.01,0.01
186,0.01,0.01
187,0.01,0.01
188,0.01,0.01
189,0.01,0.01
190,0.02,0.02
191,0.02,0.02
192,0.01,0.01
193,0.01,0.01
194,0.01,0.01
195,0.01,0.01
196,0.01,0.01
197,0.01,0.01
198,0.01,0.01
199,0.01,0.01
200,0.01,0.01
201,0.01,0.01
202,0.01,0.01
203,0.01,0.01
204,0.01,0.01
205,0.01,0.01
206,0.01,0.01
207,0.01,0.01
208,0.01,0.01
209,0.01,0.01
210,0.01,0.01
211,0.01,0.01
212,0.01,0.01
213,0.02,0.01
214,0.02,0.02
215,0.02,0.02
216,0.02,0.02
217,0.02,0.02
218,0.01,0.01
219,0.01,0.01
220,0.02,0.02
221,0.01,0.01
222,0.02,0.02
223,0.02,0.02
224,0.01,0.01
225,0.01,0.01
226,0.02,0.01
227,0.02,0.01
228,0.03,0.02
229,0.01,0.02
230,0.02,0.02
231,0.02,0.02
232,0.02,0.02
233,0.01,0.02
234,0.02,0.02
235,0.02,0.02
236,0.02,0.02
237,0.02,0.02
238,0.02,0.02
239,0.02,0.02
240,0.02,0.02
241,0.02,0.02
242,0.02,0.02
243,0.02,0.02
244,0.02,0.02
245,0.02,0.02
246,0.02,0.02
247,0.02,0.02
248,0.02,0.02
249,0.02,0.02
250,0.02,0.02
251,0.02,0.02
252,0.02,0.02
253,0.06,0.02
254,0.16,0.15
255,0.20,0.20
256,0.02,0.02
257,0.02,0.02
258,0.02,0.02
259,0.02,0.02
260,0.02,0.02
261,0.02,0.02
262,0.02,0.02
263,0.02,0.02
264,0.02,0.03
265,0.02,0.02
266,0.02,0.02
267,0.02,0.02
268,0.02,0.02
269,0.02,0.02
270,0.02,0.02
271,0.03,0.02
272,0.02,0.02
273,0.03,0.02
274,0.02,0.02
275,0.02,0.02
276,0.02,0.02
277,0.02,0.02
278,0.03,0.03
279,0.02,0.02
280,0.03,0.03
281,0.03,0.03
282,0.03,0.03
283,0.03,0.02
284,0.03,0.03
285,0.02,0.03
286,0.04,0.04
287,0.04,0.04
288,0.03,0.03
289,0.03,0.03
290,0.03,0.03
291,0.03,0.03
292,0.03,0.03
293,0.03,0.03
294,0.03,0.03
295,0.03,0.03
296,0.03,0.03
297,0.03,0.03
298,0.03,0.03
299,0.03,0.03
300,0.03,0.03
301,0.03,0.03
302,0.04,0.04
303,0.03,0.03
304,0.03,0.03
305,0.04,0.04
306,0.04,0.03
307,0.04,0.04
308,0.06,0.04
309,0.04,0.04
310,0.04,0.04
311,0.04,0.04
312,0.04,0.04
313,0.03,0.03
314,0.03,0.03
315,0.04,0.04
316,0.04,0.04
317,0.03,0.03
318,0.11,0.09
319,0.16,0.10
320,0.03,0.04
321,0.04,0.04
322,0.04,0.04
323,0.04,0.04
324,0.04,0.04
325,0.04,0.04
326,0.04,0.05
327,0.05,0.05
328,0.04,0.04
329,0.05,0.05
330,0.04,0.05
331,0.05,0.05
332,0.05,0.04
333,0.04,0.05
334,0.06,0.05
335,0.05,0.05
336,0.05,0.05
337,0.04,0.04
338,0.05,0.06
339,0.05,0.06
340,0.05,0.05
341,0.05,0.06
342,0.05,0.05
343,0.06,0.06
344,0.05,0.06
345,0.06,0.06
346,0.05,0.05
347,0.06,0.05
348,0.05,0.06
349,0.06,0.05
350,0.08,0.08
351,0.07,0.07
352,0.05,0.05
353,0.05,0.05
354,0.05,0.06
355,0.06,0.06
356,0.06,0.05
357,0.05,0.05
358,0.06,0.06
359,0.06,0.06
360,0.05,0.05
361,0.05,0.06
362,0.05,0.06
363,0.06,0.06
364,0.10,0.06
365,0.06,0.06
366,0.06,0.06
367,0.06,0.06
368,0.06,0.06
369,0.06,0.06
370,0.06,0.06
371,0.06,0.06
372,0.05,0.05
373,0.06,0.06
374,0.06,0.06
375,0.09,0.08
376,0.07,0.07
377,0.07,0.07
378,0.07,0.06
379,0.09,0.07
380,0.06,0.06
381,0.06,0.06
382,0.33,0.35
383,0.33,0.34
384,0.09,0.07
385,0.06,0.07
386,0.07,0.07
387,0.07,0.06
388,0.06,0.11
389,0.07,0.07
390,0.07,0.07
391,0.08,0.07
392,0.07,0.07
393,0.13,0.20
394,0.07,0.07
395,0.07,0.07
396,0.12,0.11
397,0.11,0.07
398,0.08,0.08
399,0.08,0.08
400,0.15,0.15
401,0.07,0.07
402,0.08,0.08
403,0.07,0.07
404,0.08,0.07
405,0.07,0.07
406,0.08,0.08
407,0.08,0.08
408,0.07,0.08
409,0.11,0.09
410,0.08,0.08
411,0.09,0.10
412,0.08,0.08
413,0.08,0.09
414,0.11,0.11
415,0.11,0.11
416,0.08,0.08
417,0.08,0.08
418,0.09,0.08
419,0.07,0.07
420,0.13,0.10
421,0.08,0.08
422,0.09,0.09
423,0.09,0.09
424,0.09,0.09
425,0.09,0.11
426,0.09,0.11
427,0.09,0.11
428,0.08,0.12
429,0.09,0.12
430,0.11,0.12
431,0.10,0.13
432,0.09,0.12
433,0.09,0.10
434,0.09,0.12
435,0.18,0.11
436,0.09,0.12
437,0.12,0.13
438,0.10,0.12
439,0.11,0.12
440,0.10,0.12
441,0.14,0.13
442,0.16,0.13
443,0.10,0.13
444,0.13,0.13
445,0.10,0.14
446,0.37,0.38
447,0.37,0.39
448,0.16,0.19
449,0.15,0.17
450,0.15,0.20
451,0.14,0.14
452,0.13,0.15
453,0.13,0.15
454,0.12,0.14
455,0.12,0.13
456,0.19,0.17
457,0.14,0.14
458,0.14,0.14
459,0.14,0.15
460,0.14,0.17
461,0.17,0.16
462,0.16,0.16
463,0.22,0.21
464,0.20,0.23
465,0.19,0.17
466,0.15,0.17
467,0.15,0.16
468,0.16,0.17
469,0.17,0.17
470,0.16,0.15
471,0.13,0.15
472,0.17,0.17
473,0.17,0.16
474,0.25,0.23
475,0.22,0.23
476,0.23,0.25
477,0.22,0.24
478,0.27,0.28
479,0.20,0.21
480,0.15,0.18
481,0.18,0.18
482,0.17,0.17
483,0.10,0.10
484,0.19,0.20
485,0.18,0.20
486,0.17,0.16
487,0.17,0.18
488,0.19,0.20
489,0.20,0.20
490,0.16,0.18
491,0.17,0.18
492,0.18,0.20
493,0.18,0.20
494,0.22,0.24
495,0.21,0.21
496,0.19,0.21
497,0.20,0.17
498,0.18,0.17
499,0.22,0.21
500,0.22,0.23
501,0.16,0.25
502,0.20,0.20
503,0.21,0.20
504,0.19,0.21
505,0.20,0.21
506,0.19,0.20
507,0.21,0.22
508,0.21,0.21
509,0.22,0.21
510,1.11,1.11
511,1.12,1.12
512,0.22,0.24
513,0.22,0.24
514,0.23,0.22
515,0.21,0.22
516,0.23,0.24
517,0.21,0.22
518,0.22,0.18
519,0.21,0.22
520,0.25,0.24
521,0.26,0.24
522,0.21,0.22
523,0.21,0.22
524,0.24,0.23
525,0.20,0.16
526,0.24,0.24
527,0.25,0.23
528,0.38,0.16
529,0.20,0.24
530,0.22,0.22
531,0.22,0.23
532,0.26,0.25
533,0.25,0.25
534,0.24,0.23
535,0.22,0.23
536,0.26,0.26
537,0.23,0.23
538,0.23,0.24
539,0.24,0.23
540,0.26,0.26
541,0.18,0.16
542,0.30,0.31
543,0.30,0.33
544,0.26,0.26
545,0.24,0.24
546,0.24,0.25
547,0.25,0.25
548,0.26,0.20
549,0.29,0.28
550,0.25,0.26
551,0.25,0.26
552,0.29,0.29
553,0.28,0.28
554,0.26,0.26
555,0.26,0.26
556,0.30,0.29
557,0.38,0.40
558,0.37,0.41
559,0.22,0.32
560,0.28,0.31
561,0.29,0.31
562,0.28,0.26
563,0.26,0.27
564,0.29,0.28
565,0.31,0.28
566,0.27,0.27
567,0.26,0.26
568,0.31,0.29
569,0.30,0.25
570,0.27,0.28
571,0.29,0.27
572,0.30,0.29
573,0.30,0.31
574,0.56,0.69
575,0.65,0.72
576,0.31,0.30
577,0.25,0.23
578,0.29,0.31
579,0.31,0.29
580,0.34,0.33
581,0.29,0.26
582,0.30,0.31
583,0.30,0.29
584,0.36,0.35
585,0.35,0.35
586,0.32,0.30
587,0.30,0.30
588,0.34,0.32
589,0.34,0.34
590,0.35,0.35
591,0.35,0.35
592,0.26,0.29
593,0.33,0.34
594,0.40,0.41
595,0.32,0.32
596,0.36,0.34
597,0.26,0.34
598,0.32,0.32
599,0.32,0.32
600,0.27,0.28
601,0.36,0.36
602,0.32,0.31
603,0.33,0.31
604,0.37,0.35
605,0.37,0.36
606,0.36,0.40
607,0.40,0.40
608,0.34,0.42
609,0.35,0.35
610,0.31,0.32
611,0.33,0.33
612,0.35,0.36
613,0.37,0.47
614,0.34,0.33
615,0.33,0.33
616,0.39,0.40
617,0.39,0.39
618,0.36,0.36
619,0.27,0.28
620,0.34,0.27
621,0.40,0.38
622,0.42,0.40
623,0.39,0.41
624,0.40,0.40
625,0.41,0.40
626,0.43,0.34
627,0.34,0.34
628,0.37,0.38
629,0.29,0.33
630,0.29,0.33
631,0.32,0.33
632,0.30,0.30
633,0.23,0.19
634,0.37,0.29
635,0.48,0.36
636,0.40,0.40
637,0.38,0.41
638,1.08,1.04
639,1.02,1.02
640,0.40,0.41
641,0.40,0.39
642,0.38,0.36
643,0.39,0.37
644,0.44,0.41
645,0.26,0.29
646,0.27,0.35
647,0.35,0.40
648,0.38,0.40
649,0.43,0.43
650,0.36,0.42
651,0.40,0.38
652,0.44,0.43
653,0.44,0.44
654,0.46,0.38
655,0.46,0.46
656,0.40,0.45
657,0.44,0.32
658,0.43,0.40
659,0.40,0.38
660,0.46,0.44
661,0.29,0.30
662,0.34,0.47
663,0.41,0.42
664,0.47,0.46
665,0.48,0.46
666,0.40,0.40
667,0.52,0.52
668,0.46,0.44
669,0.27,0.45
670,0.44,0.50
671,0.47,0.49
672,0.45,0.42
673,0.45,0.45
674,0.41,0.40
675,0.42,0.40
676,0.38,0.41
677,0.47,0.46
678,0.41,0.41
679,0.42,0.42
680,0.48,0.46
681,0.38,0.47
682,0.43,0.42
683,0.41,0.43
684,0.46,0.47
685,0.41,0.42
686,0.50,0.49
687,0.50,0.50
688,0.48,0.47
689,0.48,0.47
690,0.29,0.40
691,0.43,0.43
692,0.45,0.48
693,0.49,0.48
694,0.42,0.40
695,0.43,0.45
696,0.47,0.49
697,0.50,0.47
698,0.44,0.43
699,0.47,0.44
700,0.50,0.47
701,0.49,0.48
702,1.13,1.10
703,1.01,1.25
704,0.64,0.65
705,0.32,0.51
706,0.48,0.42
707,0.45,0.47
708,0.53,0.51
709,0.54,0.52
710,0.53,0.48
711,0.46,0.48
712,0.54,0.53
713,0.51,0.53
714,0.46,0.46
715,0.40,0.44
716,0.51,0.52
717,0.52,0.52
718,0.54,0.53
719,0.55,0.54
720,0.50,0.51
721,0.44,0.56
722,0.49,0.47
723,0.30,0.44
724,0.53,0.51
725,0.42,0.54
726,0.50,0.50
727,0.53,0.48
728,0.56,0.55
729,0.38,0.47
730,0.48,0.64
731,0.49,0.49
732,0.55,0.53
733,0.55,0.56
734,0.62,0.62
735,0.62,0.53
736,0.36,0.49
737,0.45,0.54
738,0.52,0.49
739,0.48,0.38
740,0.58,0.57
741,0.41,0.43
742,0.59,0.48
743,0.54,0.53
744,0.59,0.57
745,0.35,0.44
746,0.55,0.52
747,0.55,0.53
748,0.50,0.77
749,0.59,0.55
750,0.58,0.60
751,0.60,0.60
752,0.54,0.55
753,0.75,0.58
754,0.57,0.53
755,0.56,0.52
756,0.61,0.59
757,0.41,0.57
758,0.56,0.57
759,0.58,0.57
760,0.63,0.53
761,0.63,0.60
762,0.59,0.55
763,0.59,0.54
764,0.40,0.61
765,0.38,0.58
766,2.33,2.47
767,2.40,2.38
768,0.41,0.55
769,0.51,0.60
770,0.52,0.55
771,0.98,0.74
772,0.61,0.57
773,0.43,0.46
774,0.35,0.52
775,0.35,0.57
776,0.61,0.61
777,0.74,0.77
778,0.59,0.47
779,0.80,0.44
780,0.57,0.63
781,0.57,0.63
782,0.80,0.59
783,0.60,0.60
784,0.41,0.56
785,0.62,0.61
786,0.51,0.57
787,0.59,0.57
788,0.63,0.62
789,0.63,0.62
790,0.37,0.59
791,0.61,0.59
792,0.51,0.64
793,0.67,0.64
794,0.56,0.58
795,0.62,0.57
796,0.67,0.65
797,0.65,0.65
798,0.73,0.72
799,0.72,0.74
800,0.49,0.67
801,0.69,0.64
802,0.65,0.62
803,0.65,0.63
804,0.71,0.69
805,0.67,0.68
806,0.62,0.64
807,0.65,0.65
808,0.41,0.48
809,1.09,0.96
810,0.64,0.61
811,0.64,0.60
812,0.67,0.64
813,0.76,0.69
814,0.69,0.65
815,0.73,0.72
816,0.63,0.67
817,0.73,0.53
818,0.65,0.63
819,0.66,0.63
820,0.68,0.68
821,0.44,0.62
822,0.57,0.65
823,0.65,0.65
824,0.59,0.75
825,0.55,0.68
826,0.54,0.62
827,0.54,0.64
828,0.59,0.69
829,0.72,0.48
830,1.24,1.54
831,1.32,1.55
832,0.53,0.70
833,0.61,0.70
834,0.66,0.64
835,0.66,0.65
836,0.54,0.45
837,0.73,0.55
838,0.43,0.60
839,0.64,0.68
840,0.76,0.62
841,0.72,0.76
842,0.67,0.74
843,1.06,0.57
844,0.75,0.77
845,0.76,0.76
846,0.60,0.79
847,0.80,0.65
848,0.79,0.80
849,0.67,0.72
850,0.50,0.58
851,0.43,0.54
852,0.89,0.91
853,0.92,0.89
854,0.90,0.90
855,0.90,0.87
856,0.58,0.81
857,0.86,0.91
858,0.57,0.75
859,0.49,0.48
860,0.65,0.64
861,0.50,0.68
862,0.68,0.69
863,0.63,0.66
864,0.52,0.67
865,0.53,0.77
866,0.68,0.72
867,0.74,0.74
868,0.76,0.78
869,0.68,0.55
870,0.54,0.52
871,0.45,0.69
872,0.56,0.60
873,0.66,0.79
874,0.82,0.50
875,0.69,0.71
876,0.83,0.81
877,0.53,0.77
878,0.86,0.99
879,0.75,0.85
880,0.82,0.71
881,0.77,0.59
882,0.52,0.63
883,0.76,0.79
884,0.53,0.78
885,0.75,0.73
886,0.55,0.78
887,0.62,0.80
888,0.82,0.82
889,0.76,0.83
890,0.51,0.70
891,0.82,0.76
892,0.82,0.84
893,0.74,0.83
894,2.16,2.27
895,2.10,2.29
896,0.83,0.83
897,0.81,0.83
898,0.60,0.76
899,0.81,0.82
900,0.80,0.83
901,0.81,0.81
902,0.52,0.70
903,0.62,0.82
904,0.86,0.86
905,0.85,0.86
906,0.54,0.81
907,0.79,0.75
908,0.76,0.64
909,0.58,0.74
910,0.69,0.89
911,0.89,0.77
912,0.84,0.81
913,0.84,0.87
914,0.86,0.82
915,0.75,0.82
916,0.70,0.86
917,0.58,0.86
918,0.59,0.53
919,0.53,0.70
920,0.90,0.90
921,0.67,0.68
922,0.58,0.69
923,0.68,0.83
924,0.95,0.63
925,1.03,1.06
926,0.86,0.76
927,0.91,0.98
928,0.58,0.84
929,0.87,0.85
930,0.88,0.85
931,0.87,0.86
932,0.81,0.90
933,0.92,0.94
934,0.90,0.90
935,0.84,0.88
936,0.89,0.93
937,0.90,0.93
938,0.79,0.89
939,0.75,0.88
940,0.88,0.73
941,0.95,0.74
942,0.78,0.98
943,1.03,0.99
944,0.78,0.95
945,0.82,0.93
946,0.72,0.87
947,0.61,0.88
948,0.83,0.98
949,0.68,0.88
950,0.61,0.72
951,0.87,0.62
952,0.65,0.70
953,0.75,0.61
954,0.59,0.87
955,0.67,0.66
956,0.78,0.76
957,0.65,0.91
958,1.61,1.74
959,1.64,2.13
960,0.61,0.87
961,0.70,0.78
962,0.66,0.85
963,0.60,0.83
964,0.76,0.91
965,0.78,0.86
966,0.81,0.81
967,0.89,0.82
968,0.87,0.95
969,0.95,0.83
970,0.69,0.64
971,0.88,1.12
972,0.65,0.81
973,0.83,0.92
974,0.95,0.90
975,0.90,0.82
976,0.65,0.82
977,0.80,0.93
978,0.63,0.80
979,0.77,0.69
980,0.77,0.67
981,0.74,0.78
982,0.61,0.59
983,0.71,0.69
984,0.83,0.95
985,0.89,0.98
986,0.78,0.92
987,0.89,0.75
988,0.76,0.70
989,0.68,0.83
990,0.84,1.00
991,1.03,1.12
992,0.78,0.77
993,0.84,0.87
994,0.84,0.96
995,0.80,0.96
996,0.80,0.72
997,0.80,0.88
998,0.70,0.90
999,0.80,0.97
1000,0.83,0.98
1001,1.27,0.87
1002,0.77,0.79
1003,0.81,0.72
1004,1.37,1.26
1005,1.04,0.86
1006,0.99,0.95
1007,1.02,0.86
1008,0.91,0.88
1009,0.89,0.82
1010,0.78,0.77
1011,0.84,0.76
1012,0.81,0.98
1013,1.13,1.16
1014,0.95,0.70
1015,0.73,0.88
1016,0.90,1.05
1017,1.02,0.91
1018,0.73,1.12
1019,0.74,0.85
1020,0.86,0.90
1021,1.41,0.90
1022,4.87,5.36
1023,5.04,5.39
1024,0.84,0.97
1025,0.99,0.92
1026,0.80,0.96
1027,0.82,0.79
1028,1.08,0.96
1029,0.92,0.86
1030,0.83,0.78
1031,0.80,0.77
1032,1.07,0.87
1033,0.99,0.89
1034,0.89,0.79
1035,0.87,0.78
1036,1.19,1.10
1037,1.82,1.15
1038,1.19,0.90
1039,1.73,0.99
1040,1.10,0.88
1041,1.07,0.88
1042,1.35,0.96
1043,1.07,0.80
1044,1.21,0.88
1045,1.06,1.07
1046,0.79,0.85
1047,1.23,1.02
1048,0.99,1.19
1049,2.21,1.37
1050,1.12,0.84
1051,0.94,0.79
1052,1.19,0.93
1053,1.05,0.99
1054,1.10,1.24
1055,1.36,0.98
1056,1.05,1.01
1057,1.11,0.90
1058,0.98,0.81
1059,1.53,1.41
1060,1.21,0.94
1061,1.14,0.94
1062,0.99,0.81
1063,1.00,0.89
1064,1.49,1.13
1065,1.85,1.40
1066,1.16,0.87
1067,1.08,0.93
1068,1.30,1.16
1069,1.12,0.95
1070,1.03,0.92
1071,1.29,1.77
1072,1.84,1.07
1073,1.16,0.93
1074,0.98,0.86
1075,0.95,0.85
1076,1.12,1.02
1077,1.22,0.96
1078,0.90,0.79
1079,0.88,0.84
1080,1.32,0.98
1081,1.52,1.25
1082,0.98,0.86
1083,1.14,0.87
1084,1.09,0.96
1085,1.09,0.98
1086,1.19,1.11
1087,1.12,1.35
1088,0.98,0.98
1089,0.99,1.15
1090,1.13,0.94
1091,1.07,0.88
1092,1.10,1.00
1093,1.26,1.15
1094,0.87,0.85
1095,1.20,1.17
1096,1.64,1.19
1097,1.43,1.03
1098,1.87,1.11
1099,1.13,1.02
1100,1.51,1.08
1101,1.46,1.45
1102,1.31,1.02
1103,1.46,1.04
1104,1.21,1.14
1105,1.36,1.00
1106,1.02,0.92
1107,1.10,0.95
1108,1.12,1.00
1109,1.86,1.84
1110,0.98,0.87
1111,0.92,0.89
1112,1.21,1.05
1113,1.26,1.19
1114,1.17,1.27
1115,1.14,0.97
1116,1.41,1.08
1117,1.15,1.04
1118,1.33,1.20
1119,1.24,1.29
1120,1.82,1.45
1121,1.59,1.47
1122,1.30,0.98
1123,1.31,0.99
1124,1.25,1.22
1125,1.16,1.04
1126,0.95,0.89
1127,1.10,0.98
1128,1.58,1.29
1129,1.37,1.10
1130,1.18,0.97
1131,1.17,0.98
1132,1.50,1.14
1133,1.74,1.34
1134,1.16,1.00
1135,1.10,1.01
